PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,san jose ca,,,,,,,,,
Location:,"SAN FRANCISCO, CA",,,,,,,,,
Lat (deg N):,37.62,,,,,,,,,
Long (deg W):,122.38,,,,,,,,,
Elev (m):,5,,,,,,,,,
DC System Size (kW):,50,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,37.3,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.14,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,3.9,2.1,0,3.9,0,0
1,1,1,0,0,4.4,3.6,0,4.4,0,0
1,1,2,0,0,2.8,2.1,0,2.8,0,0
1,1,3,0,0,3.9,0,0,3.9,0,0
1,1,4,0,0,1.7,1.5,0,1.7,0,0
1,1,5,0,0,1.7,1.5,0,1.7,0,0
1,1,6,0,0,1.7,1.5,0,1.7,0,0
1,1,7,32,14,2.2,0,27.697,-0.763,1264.942,963.363
1,1,8,363,49,2.8,0,271.374,11.678,11983.806,11441.048
1,1,9,590,73,5.6,0,530.021,26.247,22424.457,21571.484
1,1,10,701,90,6.1,1.5,726.091,27.224,30807.412,29651.582
1,1,11,749,100,6.7,2.1,838.153,29.39,35264.215,33927.867
1,1,12,750,103,7.2,2.1,853.811,30.604,35721.766,34366.117
1,1,13,711,101,7.2,1.5,778.665,30.906,32499.811,31277.025
1,1,14,650,81,7.8,0,626.123,34.93,25516.137,24557.045
1,1,15,483,60,7.2,1.5,390.174,19.205,16881.871,16202.834
1,1,16,137,28,6.7,1,110.58,10.017,4843.82,4470.425
1,1,17,0,0,6.1,1.5,0,6.1,0,0
1,1,18,0,0,4.4,2.1,0,4.4,0,0
1,1,19,0,0,3.9,1.5,0,3.9,0,0
1,1,20,0,0,4.4,1,0,4.4,0,0
1,1,21,0,0,3.3,1,0,3.3,0,0
1,1,22,0,0,2.8,1,0,2.8,0,0
1,1,23,0,0,2.2,1,0,2.2,0,0
1,2,0,0,0,2.2,0,0,2.2,0,0
1,2,1,0,0,1.7,1.5,0,1.7,0,0
1,2,2,0,0,0.6,1.5,0,0.6,0,0
1,2,3,0,0,1.1,0,0,1.1,0,0
1,2,4,0,0,0.6,0,0,0.6,0,0
1,2,5,0,0,1.1,0,0,1.1,0,0
1,2,6,0,0,0,2.1,0,0,0,0
1,2,7,27,14,0.6,0,25.85,-0.824,1186.969,886.858
1,2,8,36,78,2.8,0,110.703,4.241,5181.852,4801.222
1,2,9,467,98,4.4,2.1,467.286,15.508,20794.963,19995.301
1,2,10,382,118,5.6,2.6,485.193,17.501,21548.117,20724.039
1,2,11,294,212,6.7,2.6,533.936,19.846,23502.041,22612.82
1,2,12,349,172,7.8,2.6,537.915,21.159,23535.867,22645.496
1,2,13,297,177,7.2,2.6,482.287,19.201,21280.438,20465.08
1,2,14,101,152,8.3,2.6,255.457,14.413,11505.789,10975.455
1,2,15,212,83,8.3,2.6,237.051,13.265,10597.963,10090.796
1,2,16,35,30,8.3,1.5,54.362,8.676,2453.787,2129.32
1,2,17,0,0,7.2,1,0,7.2,0,0
1,2,18,0,0,6.7,1,0,6.7,0,0
1,2,19,0,0,6.7,2.1,0,6.7,0,0
1,2,20,0,0,6.7,2.6,0,6.7,0,0
1,2,21,0,0,6.7,2.6,0,6.7,0,0
1,2,22,0,0,6.1,2.1,0,6.1,0,0
1,2,23,0,0,5.6,3.1,0,5.6,0,0
1,3,0,0,0,5,2.1,0,5,0,0
1,3,1,0,0,5,3.1,0,5,0,0
1,3,2,0,0,4.4,2.1,0,4.4,0,0
1,3,3,0,0,5,2.1,0,5,0,0
1,3,4,0,0,5,2.6,0,5,0,0
1,3,5,0,0,5,3.1,0,5,0,0
