PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,phoenix az,,,,,,,,,
Location:,"PHOENIX, AZ",,,,,,,,,
Lat (deg N):,33.43,,,,,,,,,
Long (deg W):,112.02,,,,,,,,,
Elev (m):,339,,,,,,,,,
DC System Size (kW):,100,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,33.4,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.1,,,,,,,,,
Capacity Factor (%),"20.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,5.6,2.1,0,5.6,0,0
1,1,1,0,0,5.6,2.6,0,5.6,0,0
1,1,2,0,0,5,2.1,0,5,0,0
1,1,3,0,0,6.1,2.1,0,6.1,0,0
1,1,4,0,0,6.1,2.1,0,6.1,0,0
1,1,5,0,0,6.1,2.1,0,6.1,0,0
1,1,6,0,0,6.1,2.1,0,6.1,0,0
1,1,7,1,8,6.1,0,7.646,2.232,722.941,153.283
1,1,8,91,47,6.7,1.5,95.87,7.293,8656.2,7931.183
1,1,9,824,29,9.4,2.1,581.411,23.389,49477.992,47614.379
1,1,10,901,53,12.2,0,797.796,43.121,62472.961,60127.719
1,1,11,938,72,13.9,1.5,940.305,41.296,74573.039,71727.586
1,1,12,958,79,16.1,3.6,998.904,38.844,80259.57,77161.797
1,1,13,708,170,16.7,3.6,865.124,36.671,70246.477,67585.617
1,1,14,156,261,17.2,2.1,434.192,29.651,36472.926,35033.699
1,1,15,12,179,17.2,1.5,196.708,22.713,17086.23,16172.619
1,1,16,24,70,16.7,2.1,88.888,17.88,7833.87,7125.953
1,1,17,7,7,14.4,0,8.509,11.988,743.34,173.31
1,1,18,0,0,12.2,1.5,0,12.2,0,0
1,1,19,0,0,11.1,1.5,0,11.1,0,0
