PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,los angeles ca,,,,,,,,,
Location:,"LOS ANGELES, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,32,,,,,,,,,
DC System Size (kW):,150,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,34.1,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.3	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,9.4,3.1,0,9.4,0,0
1,1,1,0,0,7.8,2.6,0,7.8,0,0
1,1,2,0,0,7.8,2.1,0,7.8,0,0
1,1,3,0,0,6.1,2.1,0,6.1,0,0
1,1,4,0,0,6.7,2.6,0,6.7,0,0
1,1,5,0,0,6.1,2.6,0,6.1,0,0
1,1,6,0,0,7.8,3.6,0,7.8,0,0
1,1,7,8,29,9.4,2.1,30.944,8.169,4258.973,3345.464
1,1,8,217,98,10,2.1,249.134,14.9,33100.273,31545.646
1,1,9,193,200,12.2,2.1,378.69,21.307,49529.316,47524.988
1,1,10,340,234,15,2.1,579.59,29.72,73019.063,70265.227
1,1,11,372,277,17.2,3.1,681.93,33.048,84603.641,81434.008
1,1,12,553,201,17.2,3.1,771.547,35.328,94639.398,91084.914
1,1,13,522,171,18.3,3.1,671.479,34.34,82667.805,79569.781
1,1,14,400,150,18.9,0,489.49,40.234,58264.836,55996.418
1,1,15,193,98,18.3,3.1,232.77,23.487,29711.549,28242.049
1,1,16,17,29,15.6,3.1,38.15,15.44,5039.071,4110.709
1,1,17,0,0,13.9,4.1,0,13.9,0,0
1,1,18,0,0,13.3,4.1,0,13.3,0,0
1,1,19,0,0,12.8,4.1,0,12.8,0,0
1,1,20,0,0,12.2,2.1,0,12.2,0,0
1,1,21,0,0,11.7,3.1,0,11.7,0,0
1,1,22,0,0,10.6,2.1,0,10.6,0,0
1,1,23,0,0,11.1,2.6,0,11.1,0,0
1,2,0,0,0,10.6,5.2,0,10.6,0,0
1,2,1,0,0,9.4,4.1,0,9.4,0,0
1,2,2,0,0,10,3.1,0,10,0,0
1,2,3,0,0,9.4,4.1,0,9.4,0,0
1,2,4,0,0,9.4,4.6,0,9.4,0,0
1,2,5,0,0,10,2.6,0,10,0,0
1,2,6,0,0,7.8,3.1,0,7.8,0,0
1,2,7,66,41,10.6,3.1,82.038,10.917,10885.676,9841.586
1,2,8,391,88,11.1,3.6,347.293,17.636,45342.418,43458.516
1,2,9,354,141,14.4,3.6,436.134,23.548,56335.707,54127.102
1,2,10,620,131,16.7,2.6,721.213,34.033,88926.359,85593.766
1,2,11,358,162,17.2,2.1,547.106,32.093,68187.641,65598.211
1,2,12,10,197,17.8,2.1,198.988,23.106,25896.834,24520.041
1,2,13,1,203,16.1,5.2,200.627,18.964,26614.828,25220.84
1,2,14,93,190,15,3.1,278.478,20.526,36588.613,34943.629
1,2,15,6,123,14.4,3.1,134.536,16.674,18017.422,16821.65
1,2,16,5,19,14.4,1.5,18.646,13.336,2506.555,1625.91
1,2,17,0,0,13.3,1.5,0,13.3,0,0
1,2,18,0,0,12.2,2.1,0,12.2,0,0
1,2,19,0,0,11.7,2.1,0,11.7,0,0
1,2,20,0,0,12.8,2.1,0,12.8,0,0
1,2,21,0,0,12.8,0,0,12.8,0,0
1,2,22,0,0,13.3,2.1,0,13.3,0,0
1,2,23,0,0,13.3,0,0,13.3,0,0
1,3,0,0,0,10.6,3.1,0,10.6,0,0
1,3,1,0,0,10.6,0,0,10.6,0,0
1,3,2,0,0,10.6,3.6,0,10.6,0,0
1,3,3,0,0,12.2,2.6,0,12.2,0,0
1,3,4,0,0,10.6,0,0,10.6,0,0
1,3,5,0,0,11.1,2.1,0,11.1,0,0
1,3,6,0,0,11.7,3.1,0,11.7,0,0
1,3,7,1,30,11.7,2.6,29.729,10.631,4088.018,3177.746
1,3,8,5,69,12.8,2.1,66.495,12.721,9059.578,8052.468
1,3,9,8,142,13.9,3.1,142.826,15.814,19212.791,17990.465
1,3,10,2,247,15.6,3.1,252.559,20.364,33289.508,31730.051
1,3,11,2,183,16.1,2.1,176.248,19.818,23289.545,21974.213
1,3,12,4,200,16.7,2.1,196.639,20.717,25876.645,24500.332
1,3,13,2,191,17.8,0,187.695,24.965,24216.086,22879.09
1,3,14,1,135,17.8,0,130.255,22.601,16991.428,15818.188
1,3,15,1,79,15.6,2.6,75.884,16.127,10194.506,9164.502
1,3,16,0,30,15,2.1,30.101,14.125,4081.503,3171.355
1,3,17,0,0,15,0,0,15,0,0
1,3,18,0,0,13.3,2.1,0,13.3,0,0
1,3,19,0,0,13.3,0,0,13.3,0,0
1,3,20,0,0,13.9,1.5,0,13.9,0,0
1,3,21,0,0,13.3,0,0,13.3,0,0
1,3,22,0,0,13.9,0,0,13.9,0,0
1,3,23,0,0,13.9,2.1,0,13.9,0,0
1,4,0,0,0,13.3,2.1,0,13.3,0,0
1,4,1,0,0,11.7,1.5,0,11.7,0,0
1,4,2,0,0,11.7,2.6,0,11.7,0,0
1,4,3,0,0,10.6,2.6,0,10.6,0,0
1,4,4,0,0,11.7,2.6,0,11.7,0,0
1,4,5,0,0,11.7,2.1,0,11.7,0,0
1,4,6,0,0,11.7,2.6,0,11.7,0,0
1,4,7,8,25,12.8,1.5,27.965,11.525,3787.595,2882.996
1,4,8,42,90,13.3,2.1,118.227,14.646,15882.43,14733.278
1,4,9,378,159,15,2.6,475.808,25.537,60893.934,58542.641
1,4,10,299,242,17.2,2.1,553.469,31.505,69136.477,66515.18
1,4,11,208,234,18.9,2.1,459.035,30.997,57525.754,55280.352
1,4,12,68,254,18.9,2.6,337.361,26.955,43112.449,41291.063
1,4,13,115,210,19.4,3.1,338.173,26.692,43244.625,41419.563
1,4,14,153,176,16.1,3.1,315.988,22.867,41027.477,39263.516
1,4,15,4,100,15.6,5.2,102.445,16.756,13716.44,12613.527
1,4,16,1,19,15,5.2,17.187,14.169,2323.857,1446.599
1,4,17,0,0,15.6,3.1,0,15.6,0,0
1,4,18,0,0,15,2.6,0,15,0,0
1,4,19,0,0,15,2.6,0,15,0,0
1,4,20,0,0,14.4,3.1,0,14.4,0,0
1,4,21,0,0,14.4,0,0,14.4,0,0
1,4,22,0,0,13.9,5.2,0,13.9,0,0
1,4,23,0,0,14.4,5.2,0,14.4,0,0
1,5,0,0,0,13.3,3.1,0,13.3,0,0
1,5,1,0,0,13.3,2.6,0,13.3,0,0
1,5,2,0,0,12.2,2.1,0,12.2,0,0
1,5,3,0,0,11.7,0,0,11.7,0,0
1,5,4,0,0,11.7,3.6,0,11.7,0,0
1,5,5,0,0,11.7,3.1,0,11.7,0,0
1,5,6,0,0,12.8,3.1,0,12.8,0,0
1,5,7,2,30,11.1,6.7,30.096,10.453,4135.589,3224.417
1,5,8,4,50,10.6,6.2,46.653,10.217,6425.504,5470.401
1,5,9,5,94,10.6,5.2,89.287,11.017,12270.354,11197.718
1,5,10,8,119,10.6,5.7,115.905,11.543,15895.064,14745.64
1,5,11,6,145,11.1,5.2,139.993,12.609,19110.115,17890.082
1,5,12,1,142,10.6,3.6,132.315,12.32,18085.727,16888.447
1,5,13,0,131,10.6,5.2,121.244,11.769,16613.158,15448.166
1,5,14,1,104,10.6,4.6,96.668,11.336,13270.077,12176.56
1,5,15,107,87,11.7,3.6,160.234,13.973,21446.104,20173.293
1,5,16,35,33,11.7,1.5,56.629,11.849,7541.595,6564.648
1,5,17,0,0,12.2,2.1,0,12.2,0,0
1,5,18,0,0,11.7,3.1,0,11.7,0,0
1,5,19,0,0,11.7,4.1,0,11.7,0,0
1,5,20,0,0,11.7,4.6,0,11.7,0,0
1,5,21,0,0,11.1,3.1,0,11.1,0,0
1,5,22,0,0,10.6,5.2,0,10.6,0,0
1,5,23,0,0,10,5.2,0,10,0,0
1,6,0,0,0,11.1,2.6,0,11.1,0,0
1,6,1,0,0,9.4,2.1,0,9.4,0,0
1,6,2,0,0,8.3,2.6,0,8.3,0,0
1,6,3,0,0,6.7,2.6,0,6.7,0,0
1,6,4,0,0,7.8,2.6,0,7.8,0,0
1,6,5,0,0,7.2,1.5,0,7.2,0,0
1,6,6,0,0,6.7,3.1,0,6.7,0,0
1,6,7,11,34,7.8,4.1,42.893,7.236,5926.717,4981.285
1,6,8,253,98,10,2.6,268.06,15.122,35510.949,33894.172
1,6,9,460,134,11.7,2.6,520.033,23.787,67058.008,64506.25
1,6,10,609,135,13.3,3.1,715.759,29.872,90057.969,86682.016
1,6,11,597,150,14.4,3.1,762.664,32.486,94864.391,91301.008
1,6,12,688,150,15.6,2.6,846.507,36.8,103076.875,99181.109
1,6,13,668,135,14.4,4.1,765.316,31.169,95683.516,92087.68
1,6,14,528,116,14.4,4.1,547.273,26.393,69661.031,67022.031
1,6,15,365,78,13.9,3.6,316.682,20.811,40688.703,38933.98
1,6,16,82,30,12.8,4.1,75.349,13.566,9743.007,8722.146
1,6,17,0,0,11.7,3.6,0,11.7,0,0
1,6,18,0,0,11.7,2.1,0,11.7,0,0
1,6,19,0,0,11.7,1.5,0,11.7,0,0
1,6,20,0,0,11.7,3.1,0,11.7,0,0
1,6,21,0,0,10.6,2.1,0,10.6,0,0
1,6,22,0,0,10.6,2.1,0,10.6,0,0
1,6,23,0,0,10.6,2.1,0,10.6,0,0
1,7,0,0,0,10,2.6,0,10,0,0
1,7,1,0,0,9.4,2.1,0,9.4,0,0
1,7,2,0,0,8.9,2.1,0,8.9,0,0
1,7,3,0,0,8.3,2.1,0,8.3,0,0
1,7,4,0,0,7.8,2.6,0,7.8,0,0
1,7,5,0,0,7.8,1.5,0,7.8,0,0
1,7,6,0,0,8.9,0,0,8.9,0,0
1,7,7,21,35,10,1.5,48.197,9.485,6540.996,5583.646
1,7,8,520,53,11.1,1.5,380.814,20.409,48825.887,46842.066
1,7,9,721,66,12.8,2.1,635.001,29.003,79746.93,76755.328
1,7,10,815,81,14.4,2.1,824.42,36.111,100587.695,96794.297
1,7,11,746,84,15,3.1,816.354,34.544,100514.875,96724.453
1,7,12,585,154,14.4,5.2,756.116,28.807,95736.32,92138.375
1,7,13,467,178,14.4,5.2,635.974,26.433,81361.688,78311.492
1,7,14,525,133,14.4,6.2,566.208,23.815,72976.094,70223.742
1,7,15,468,64,13.9,5.2,363.922,20.445,46719.699,44796.621
1,7,16,289,23,12.8,4.6,152.996,15.171,18902.563,17687.16
1,7,17,0,0,11.7,3.6,0,11.7,0,0
1,7,18,0,0,12.2,3.1,0,12.2,0,0
1,7,19,0,0,12.2,3.1,0,12.2,0,0
1,7,20,0,0,11.7,2.6,0,11.7,0,0
1,7,21,0,0,11.7,2.6,0,11.7,0,0
1,7,22,0,0,10,1.5,0,10,0,0
1,7,23,0,0,10,2.6,0,10,0,0
1,8,0,0,0,9.4,3.1,0,9.4,0,0
1,8,1,0,0,9.4,3.1,0,9.4,0,0
1,8,2,0,0,9.4,2.1,0,9.4,0,0
1,8,3,0,0,9.4,2.1,0,9.4,0,0
1,8,4,0,0,9.4,2.1,0,9.4,0,0
1,8,5,0,0,8.9,2.1,0,8.9,0,0
1,8,6,0,0,8.9,2.1,0,8.9,0,0
1,8,7,3,26,10,3.1,25.076,9.221,3456.029,2557.665
1,8,8,39,93,11.1,5.2,119.91,12.078,16301.582,15143.359
1,8,9,376,172,12.8,2.6,489.207,23.692,63159.246,60735.285
1,8,10,606,142,13.9,2.6,720.812,31.441,90011.359,86637.195
1,8,11,771,123,15,2.1,893.268,38.645,107771.086,103678.453
1,8,12,768,99,15,3.6,855.936,34.603,105360.914,101369.984
1,8,13,708,93,14.4,5.7,751.294,27.982,95372.195,91788.711
1,8,14,390,132,13.9,6.2,465.511,21.716,60628.668,58285.809
1,8,15,455,79,13.9,4.6,370.368,20.931,47508.148,45562.449
1,8,16,205,27,12.8,3.6,124.106,14.897,15531.253,14389.671
1,8,17,0,0,12.2,2.6,0,12.2,0,0
1,8,18,0,0,12.8,2.1,0,12.8,0,0
1,8,19,0,0,12.8,3.6,0,12.8,0,0
1,8,20,0,0,12.2,1.5,0,12.2,0,0
1,8,21,0,0,12.2,2.1,0,12.2,0,0
1,8,22,0,0,11.7,2.6,0,11.7,0,0
1,8,23,0,0,11.1,1.5,0,11.1,0,0
1,9,0,0,0,10,2.6,0,10,0,0
1,9,1,0,0,10,2.1,0,10,0,0
1,9,2,0,0,9.4,1.5,0,9.4,0,0
1,9,3,0,0,9.4,0,0,9.4,0,0
1,9,4,0,0,8.9,2.1,0,8.9,0,0
1,9,5,0,0,8.3,2.1,0,8.3,0,0
1,9,6,0,0,8.9,3.1,0,8.9,0,0
1,9,7,166,26,9.4,1.5,107.938,10.921,13817.846,12712.791
1,9,8,464,71,11.7,3.1,369.147,19.148,47699.691,45748.477
